"","PointID","Round","n","count","percent_grazed"
"677","JISA010_17","2",58,15,25.8620689655172
"678","JISA010_18","2",58,3,5.17241379310345
"679","JISA011_15","2",59,3,5.08474576271186
"680","JISA011_16","2",57,23,40.3508771929825
"681","JISA011_17","2",58,0,0
"682","JISA011_18","2",58,2,3.44827586206897
"683","JISA014_15","2",43,3,6.97674418604651
"684","JISA016_15","2",58,3,5.17241379310345
"685","JISA016_16","2",58,23,39.6551724137931
"686","JISA016_17","2",58,13,22.4137931034483
"687","JISA016_18","2",58,9,15.5172413793103
"688","JISA017_15","2",70,3,4.28571428571429
"689","JISA018_15","2",29,0,0
"690","JISA018_16","2",51,21,41.1764705882353
"691","JISA018_17","2",55,3,5.45454545454545
"692","JISA018_18","2",53,2,3.77358490566038
"693","JISA019_15","2",49,0,0
"694","JISA019_16","2",57,25,43.859649122807
"695","JISA019_17","2",57,21,36.8421052631579
"696","JISA019_18","2",58,28,48.2758620689655
"697","JISA020_15","2",27,0,0
"698","JISA020_18","2",55,4,7.27272727272727
"699","JISA023_16","2",56,37,66.0714285714286
"700","JISA023_17","2",63,0,0
"701","JISA023_18","2",62,6,9.67741935483871
"702","JISA025_15","2",59,22,37.2881355932203
"703","JISA025_16","2",44,26,59.0909090909091
"704","JISA025_17","2",46,16,34.7826086956522
"705","JISA025_18","2",53,17,32.0754716981132
"706","JISA026_15","2",56,15,26.7857142857143
"707","JISA026_16","2",65,13,20
"708","JISA026_17","2",58,10,17.2413793103448
"709","JISA026_18","2",58,3,5.17241379310345
"710","JISA027_15","2",37,5,13.5135135135135
"711","JISA027_16","2",38,25,65.7894736842105
"712","JISA027_17","2",30,6,20
"713","JISA027_18","2",46,2,4.34782608695652
"714","JISA028_15","2",46,5,10.8695652173913
"715","JISA028_16","2",33,22,66.6666666666667
"716","JISA028_17","2",33,9,27.2727272727273
"717","JISA028_18","2",31,8,25.8064516129032
"718","JISA029_15","2",39,12,30.7692307692308
"719","JISA029_16","2",25,7,28
"720","JISA029_17","2",24,9,37.5
"721","JISA029_18","2",39,5,12.8205128205128
"722","JISA030_15","2",33,3,9.09090909090909
"723","JISA030_16","2",60,11,18.3333333333333
"724","JISA030_17","2",46,13,28.2608695652174
"725","JISA030_18","2",48,4,8.33333333333333
"726","JISA031_15","2",43,2,4.65116279069767
"727","JISA031_16","2",58,17,29.3103448275862
"728","JISA031_17","2",58,10,17.2413793103448
"729","JISA031_18","2",58,4,6.89655172413793
"730","JISA032_15","2",47,15,31.9148936170213
"731","JISA032_16","2",36,12,33.3333333333333
"732","JISA032_17","2",49,10,20.4081632653061
"733","JISA032_18","2",59,4,6.77966101694915
"734","JISA033_15","2",58,17,29.3103448275862
"735","JISA033_16","2",54,30,55.5555555555556
"736","JISA033_17","2",60,12,20
"737","JISA033_18","2",60,12,20
"738","JISA034_15","2",30,8,26.6666666666667
"739","JISA034_16","2",56,11,19.6428571428571
"740","JISA034_17","2",56,21,37.5
"741","JISA034_18","2",58,11,18.9655172413793
"742","JISA035_15","2",28,6,21.4285714285714
"743","JISA035_16","2",28,8,28.5714285714286
"744","JISA035_17","2",28,1,3.57142857142857
"745","JISA035_18","2",29,4,13.7931034482759
"746","JISA036_15","2",9,8,88.8888888888889
"747","JISA036_16","2",19,15,78.9473684210526
"748","JISA036_17","2",10,3,30
"749","JISA036_18","2",13,6,46.1538461538462
"750","JISA037_15","2",62,0,0
"751","JISA037_16","2",61,20,32.7868852459016
"752","JISA037_17","2",53,17,32.0754716981132
"753","JISA037_18","2",61,5,8.19672131147541
"754","JISA038_15","2",56,22,39.2857142857143
"755","JISA038_16","2",59,10,16.9491525423729
"756","JISA038_17","2",58,23,39.6551724137931
"757","JISA038_18","2",58,2,3.44827586206897
"758","JISA039_15","2",26,25,96.1538461538462
"759","JISA039_16","2",29,17,58.6206896551724
